art_style,painting,emotion,utterance,repetition,artist_parsed,artwork_parsed,year_parsed,artist_key,artwork_key,link
Abstract_Expressionism,sam-francis_evergreen-licks-1987,amusement,When I see this painting  feel amusement because the colors are bright reminds me of a sunny day.,46,Sam Francis,Evergreen Licks,1987.0,sam francis,evergreen licks,https://uploads2.wikiart.org/images/sam-francis/evergreen-licks-1987.jpg
Impressionism,claude-monet_boats-at-rouen,fear,These boats look like they may be falling apart. They are in shallow water.,46,Claude Monet,Boats At Rouen,,claude monet,boats at rouen,https://uploads6.wikiart.org/images/claude-monet/boats-at-rouen.jpg
Art_Nouveau_Modern,konstantin-korovin_slave-of-the-queen-retinue-shemakhan-1909,contentment,This piece of art would be great for a reference piece. I love the purple robe.,48,Konstantin Korovin,Slave Of The Queen Retinue Shemakhan,1909.0,konstantin korovin,slave of the queen retinue shemakhan,https://uploads3.wikiart.org/images/konstantin-korovin/slave-of-the-queen-retinue-shemakhan-1909.jpg
Expressionism,egon-schiele_female-nude-lying-on-her-stomach-1917,contentment,she looks pleased with her self that brings joy,53,Egon Schiele,Female Nude Lying On Her Stomach,1917.0,egon schiele,female nude lying on her stomach,https://uploads2.wikiart.org/images/egon-schiele/female-nude-lying-on-her-stomach-1917.jpg
Color_Field_Painting,theodoros-stamos_infinity-field-1971,excitement,The colors in this piece are bright and stir up a bit of excitement despite the lack of subject matter.,48,Theodoros Stamos,Infinity Field,1971.0,theodoros stamos,infinity field,https://uploads6.wikiart.org/images/theodoros-stamos/infinity-field-1980.jpg
Pop_Art,valerio-adami_hotel-chelsea-bathroom-1968,fear,This was someone's vision fo the BoogeyMan in like 1920,47,Valerio Adami,Hotel Chelsea Bathroom,1968.0,valerio adami,hotel chelsea bathroom,https://uploads2.wikiart.org/images/valerio-adami/hotel-chelsea-bathroom-1968.jpg
Realism,camille-corot_woman-with-mandolin-1828,excitement,The women's clothing especially the white and peach contrast very well with the sky.,44,Camille Corot,Woman With Mandolin,1828.0,camille corot,woman with mandolin,https://uploads8.wikiart.org/images/camille-corot/woman-with-mandolin-1828.jpg
Art_Nouveau_Modern,gustav-klimt_flower-garden-1907,amusement,the bright orange flowers contrast the green grass.,45,Gustav Klimt,Flower Garden,1907.0,gustav klimt,flower garden,https://uploads1.wikiart.org/images/gustav-klimt/flower-garden-1907.jpg
Color_Field_Painting,theodoros-stamos_infinity-field-1971,disgust,it looks like the painting is cut off,48,Theodoros Stamos,Infinity Field,1971.0,theodoros stamos,infinity field,https://uploads6.wikiart.org/images/theodoros-stamos/infinity-field-1980.jpg
Naive_Art_Primitivism,marc-chagall_the-message-of-ulysse,fear,The animality of this painting and the blood really is scary,45,Marc Chagall,The Message Of Ulysse,,marc chagall,the message of ulysse,https://uploads6.wikiart.org/images/marc-chagall/the-message-of-ulysse-1.jpg
Art_Nouveau_Modern,gustav-klimt_flower-garden-1907,awe,"this serene field of flowers has many bright and vivid colors that flow so well together, and makes you feel as though you are in another world",45,Gustav Klimt,Flower Garden,1907.0,gustav klimt,flower garden,https://uploads1.wikiart.org/images/gustav-klimt/flower-garden-1907.jpg
Cubism,pablo-picasso_cat-eating-a-bird-1939,fear,The face and claws of this creature is very scary and disturbing,50,Pablo Picasso,Cat Eating A Bird,1939.0,pablo picasso,cat eating a bird,https://uploads6.wikiart.org/images/pablo-picasso/cat-eating-a-bird-1939.jpg
Pop_Art,valerio-adami_hotel-chelsea-bathroom-1968,amusement,The most oddest bathroom I've ever seen that also looks rather comfy,47,Valerio Adami,Hotel Chelsea Bathroom,1968.0,valerio adami,hotel chelsea bathroom,https://uploads2.wikiart.org/images/valerio-adami/hotel-chelsea-bathroom-1968.jpg
Abstract_Expressionism,mark-tobey_geography-of-phantasy-1948,sadness,The post modern depiction of nothing is saddening to view,45,Mark Tobey,Geography Of Phantasy,1948.0,mark tobey,geography of phantasy,https://uploads7.wikiart.org/images/mark-tobey/geography-of-phantasy-1948.jpg
Color_Field_Painting,theodoros-stamos_infinity-field-1971,excitement,This looks like you are about to jump down into a canyon.,48,Theodoros Stamos,Infinity Field,1971.0,theodoros stamos,infinity field,https://uploads6.wikiart.org/images/theodoros-stamos/infinity-field-1980.jpg
Romanticism,francesco-hayez_thethys-immerses-achilles-in-the-waters-of-styx-1817,awe,the detail of the angles is amazing. The unfinished painting they are gathered around seems to be of people.,49,Francesco Hayez,Thethys Immerses Achilles In The Waters Of Styx,1817.0,francesco hayez,thethys immerses achilles in the waters of styx,https://uploads2.wikiart.org/images/francesco-hayez/thethys-immerses-achilles-in-the-waters-of-styx-1817.jpg
Realism,camille-corot_woman-with-mandolin-1828,sadness,This person doesn't look like they are having a good time.,44,Camille Corot,Woman With Mandolin,1828.0,camille corot,woman with mandolin,https://uploads8.wikiart.org/images/camille-corot/woman-with-mandolin-1828.jpg
Abstract_Expressionism,louise-nevelson_sky-covenant-1973,contentment,The design is organized and calming in it's industrial setting,49,Louise Nevelson,Sky Covenant,1973.0,louise nevelson,sky covenant,https://uploads3.wikiart.org/images/louise-nevelson/sky-covenant-1973.jpg
Naive_Art_Primitivism,marc-chagall_nozdriov,excitement,"Guy yelling like he won the lottery, wife calmly behind him holding baby.",44,Marc Chagall,Nozdriov,,marc chagall,nozdriov,https://uploads0.wikiart.org/images/marc-chagall/nozdriov.jpg
Impressionism,berthe-morisot_young-girl-with-a-parrot,contentment,The girl in this image is calmly sitting next to her green pet bird.,49,Berthe Morisot,Young Girl With A Parrot,,berthe morisot,young girl with a parrot,https://uploads0.wikiart.org/images/berthe-morisot/young-girl-with-a-parrot.jpg
Realism,camille-corot_woman-with-mandolin-1828,contentment,love seeing how the subject appears to be exhausted and not caring that the instrument is is touching the ground,44,Camille Corot,Woman With Mandolin,1828.0,camille corot,woman with mandolin,https://uploads8.wikiart.org/images/camille-corot/woman-with-mandolin-1828.jpg
Art_Nouveau_Modern,gustav-klimt_flower-garden-1907,contentment,The bright colors on the flowers look like a happy Spring day.,45,Gustav Klimt,Flower Garden,1907.0,gustav klimt,flower garden,https://uploads1.wikiart.org/images/gustav-klimt/flower-garden-1907.jpg
Impressionism,berthe-morisot_young-girl-with-a-parrot,awe,"There are few colors used in this image,  only a hand full really stant out and it draws you the central point of the image,  makig very aware of the intention of the artist.  Deatail and color is just incredible.",49,Berthe Morisot,Young Girl With A Parrot,,berthe morisot,young girl with a parrot,https://uploads0.wikiart.org/images/berthe-morisot/young-girl-with-a-parrot.jpg
Abstract_Expressionism,mark-tobey_geography-of-phantasy-1948,contentment,There are very few colors but the variation in the lines still makes this interesting to look at.,45,Mark Tobey,Geography Of Phantasy,1948.0,mark tobey,geography of phantasy,https://uploads7.wikiart.org/images/mark-tobey/geography-of-phantasy-1948.jpg
Romanticism,francesco-hayez_thethys-immerses-achilles-in-the-waters-of-styx-1817,awe,"great fresco of angels, it looks very old and it always impresses me the historic talent",49,Francesco Hayez,Thethys Immerses Achilles In The Waters Of Styx,1817.0,francesco hayez,thethys immerses achilles in the waters of styx,https://uploads2.wikiart.org/images/francesco-hayez/thethys-immerses-achilles-in-the-waters-of-styx-1817.jpg
Impressionism,berthe-morisot_young-girl-with-a-parrot,something else,"Looks like painting of a girl and her  pet parrot, though I'm not sure if that's a part and she looks rather unamused.",49,Berthe Morisot,Young Girl With A Parrot,,berthe morisot,young girl with a parrot,https://uploads0.wikiart.org/images/berthe-morisot/young-girl-with-a-parrot.jpg
Naive_Art_Primitivism,marc-chagall_the-message-of-ulysse,awe,A female stands in the middle with what looks like a unicorn,45,Marc Chagall,The Message Of Ulysse,,marc chagall,the message of ulysse,https://uploads6.wikiart.org/images/marc-chagall/the-message-of-ulysse-1.jpg
Cubism,pablo-picasso_cat-eating-a-bird-1939,fear,The creatures head is very scary and its body is very deformed,50,Pablo Picasso,Cat Eating A Bird,1939.0,pablo picasso,cat eating a bird,https://uploads6.wikiart.org/images/pablo-picasso/cat-eating-a-bird-1939.jpg
Abstract_Expressionism,louise-nevelson_sky-covenant-1973,excitement,"When I think of the works in this drawing that resembles a beautiful modern museum building, it seems exciting to me.",49,Louise Nevelson,Sky Covenant,1973.0,louise nevelson,sky covenant,https://uploads3.wikiart.org/images/louise-nevelson/sky-covenant-1973.jpg
Abstract_Expressionism,louise-nevelson_sky-covenant-1973,contentment,It looks like it might spell out something from a certain angle,49,Louise Nevelson,Sky Covenant,1973.0,louise nevelson,sky covenant,https://uploads3.wikiart.org/images/louise-nevelson/sky-covenant-1973.jpg
Abstract_Expressionism,louise-nevelson_sky-covenant-1973,contentment,"the photographer captures clean lines of the building and the uniqueness of the art to the left, a nice balance and contrast of colors and shapes that is exemplified in the black and white publishing",49,Louise Nevelson,Sky Covenant,1973.0,louise nevelson,sky covenant,https://uploads3.wikiart.org/images/louise-nevelson/sky-covenant-1973.jpg
Cubism,olexandr-archipenko_head-of-a-woman-1921,fear,The elongated structure of this face makes me fearful,50,Olexandr Archipenko,Head Of A Woman,1921.0,olexandr archipenko,head of a woman,https://uploads1.wikiart.org/images/olexandr-archipenko/head-of-a-woman-1921.jpg
Color_Field_Painting,theodoros-stamos_infinity-field-1971,contentment,"I like the contrasting colors (oranges, reds, purples) in this picture, reminds me of a sunset in a way. It is soothing and pleasant to look at.",48,Theodoros Stamos,Infinity Field,1971.0,theodoros stamos,infinity field,https://uploads6.wikiart.org/images/theodoros-stamos/infinity-field-1980.jpg
Color_Field_Painting,theodoros-stamos_infinity-field-1971,something else,Not sure how this makes me feel but the pink and purpleish blue go nicely together,48,Theodoros Stamos,Infinity Field,1971.0,theodoros stamos,infinity field,https://uploads6.wikiart.org/images/theodoros-stamos/infinity-field-1980.jpg
Cubism,pablo-picasso_cat-eating-a-bird-1939,amusement,the animal in the image looks like a typical tiger with funny painting,50,Pablo Picasso,Cat Eating A Bird,1939.0,pablo picasso,cat eating a bird,https://uploads6.wikiart.org/images/pablo-picasso/cat-eating-a-bird-1939.jpg
Art_Nouveau_Modern,gustav-klimt_flower-garden-1907,awe,A very lovely painting with a rainbow of colors among the flowers.,45,Gustav Klimt,Flower Garden,1907.0,gustav klimt,flower garden,https://uploads1.wikiart.org/images/gustav-klimt/flower-garden-1907.jpg
Expressionism,egon-schiele_female-nude-lying-on-her-stomach-1917,amusement,"Her butt looks so weird, the shape of the body is not realistic and strange.",53,Egon Schiele,Female Nude Lying On Her Stomach,1917.0,egon schiele,female nude lying on her stomach,https://uploads2.wikiart.org/images/egon-schiele/female-nude-lying-on-her-stomach-1917.jpg
Naive_Art_Primitivism,marc-chagall_the-message-of-ulysse,contentment,"great light colors upon darker colors, I like that this is simple",45,Marc Chagall,The Message Of Ulysse,,marc chagall,the message of ulysse,https://uploads6.wikiart.org/images/marc-chagall/the-message-of-ulysse-1.jpg
Cubism,olexandr-archipenko_head-of-a-woman-1921,sadness,The face sculpture is not attractive at all.,50,Olexandr Archipenko,Head Of A Woman,1921.0,olexandr archipenko,head of a woman,https://uploads1.wikiart.org/images/olexandr-archipenko/head-of-a-woman-1921.jpg
Cubism,olexandr-archipenko_head-of-a-woman-1921,fear,"A faceless, featureless head is Big Brother creepy.",50,Olexandr Archipenko,Head Of A Woman,1921.0,olexandr archipenko,head of a woman,https://uploads1.wikiart.org/images/olexandr-archipenko/head-of-a-woman-1921.jpg
Art_Nouveau_Modern,gustav-klimt_flower-garden-1907,excitement,The colors of the flowers and distinct shapes make me hopeful for spring.,45,Gustav Klimt,Flower Garden,1907.0,gustav klimt,flower garden,https://uploads1.wikiart.org/images/gustav-klimt/flower-garden-1907.jpg
Naive_Art_Primitivism,marc-chagall_nozdriov,excitement,The painitng represents excietment. The man hasjust received a big promotion and is excited for his self and family.,44,Marc Chagall,Nozdriov,,marc chagall,nozdriov,https://uploads0.wikiart.org/images/marc-chagall/nozdriov.jpg
Abstract_Expressionism,louise-nevelson_sky-covenant-1973,contentment,The architecture reminds me of a college campus.,49,Louise Nevelson,Sky Covenant,1973.0,louise nevelson,sky covenant,https://uploads3.wikiart.org/images/louise-nevelson/sky-covenant-1973.jpg
Abstract_Expressionism,mark-tobey_geography-of-phantasy-1948,awe,The cracked and sandy stone colored surface is mysterious in what it could have been,45,Mark Tobey,Geography Of Phantasy,1948.0,mark tobey,geography of phantasy,https://uploads7.wikiart.org/images/mark-tobey/geography-of-phantasy-1948.jpg
Expressionism,egon-schiele_female-nude-lying-on-her-stomach-1917,amusement,She's a sexy auburn hair girl and she knows it as she shows off her bumpy behind.,53,Egon Schiele,Female Nude Lying On Her Stomach,1917.0,egon schiele,female nude lying on her stomach,https://uploads2.wikiart.org/images/egon-schiele/female-nude-lying-on-her-stomach-1917.jpg
Pop_Art,valerio-adami_hotel-chelsea-bathroom-1968,something else,Its a trippy image with the abstract shapes and not-so-correct perspective and organization of objects in this bathroom..,47,Valerio Adami,Hotel Chelsea Bathroom,1968.0,valerio adami,hotel chelsea bathroom,https://uploads2.wikiart.org/images/valerio-adami/hotel-chelsea-bathroom-1968.jpg
Impressionism,berthe-morisot_young-girl-with-a-parrot,amusement,"Nice red hair, nicely painted girl, just sitting. Kind of interesting.",49,Berthe Morisot,Young Girl With A Parrot,,berthe morisot,young girl with a parrot,https://uploads0.wikiart.org/images/berthe-morisot/young-girl-with-a-parrot.jpg
Cubism,olexandr-archipenko_head-of-a-woman-1921,contentment,This ivory bust has a proud looking face and view.,50,Olexandr Archipenko,Head Of A Woman,1921.0,olexandr archipenko,head of a woman,https://uploads1.wikiart.org/images/olexandr-archipenko/head-of-a-woman-1921.jpg
Naive_Art_Primitivism,marc-chagall_nozdriov,anger,the man in the image with his expression seems like he is shouting on something,44,Marc Chagall,Nozdriov,,marc chagall,nozdriov,https://uploads0.wikiart.org/images/marc-chagall/nozdriov.jpg
Expressionism,egon-schiele_female-nude-lying-on-her-stomach-1917,sadness,It makes me sad because it looks like a woman lost her leg and has been crawling on the floor. Her face also looks sad too.,53,Egon Schiele,Female Nude Lying On Her Stomach,1917.0,egon schiele,female nude lying on her stomach,https://uploads2.wikiart.org/images/egon-schiele/female-nude-lying-on-her-stomach-1917.jpg
Realism,camille-corot_woman-with-mandolin-1828,contentment,"This makes me feel like I need to rest with this woman, because she is tired of walking",44,Camille Corot,Woman With Mandolin,1828.0,camille corot,woman with mandolin,https://uploads8.wikiart.org/images/camille-corot/woman-with-mandolin-1828.jpg
Romanticism,francesco-hayez_thethys-immerses-achilles-in-the-waters-of-styx-1817,amusement,The angles are beautiful and elegant.,49,Francesco Hayez,Thethys Immerses Achilles In The Waters Of Styx,1817.0,francesco hayez,thethys immerses achilles in the waters of styx,https://uploads2.wikiart.org/images/francesco-hayez/thethys-immerses-achilles-in-the-waters-of-styx-1817.jpg
Pop_Art,valerio-adami_hotel-chelsea-bathroom-1968,disgust,"Even though the colors are bright, the fact that it's a cartoonish bathroom is boring",47,Valerio Adami,Hotel Chelsea Bathroom,1968.0,valerio adami,hotel chelsea bathroom,https://uploads2.wikiart.org/images/valerio-adami/hotel-chelsea-bathroom-1968.jpg
Expressionism,egon-schiele_female-nude-lying-on-her-stomach-1917,disgust,i think the women would have looked better if she didn't have the green and red blotches and maybe it little better colors,53,Egon Schiele,Female Nude Lying On Her Stomach,1917.0,egon schiele,female nude lying on her stomach,https://uploads2.wikiart.org/images/egon-schiele/female-nude-lying-on-her-stomach-1917.jpg
Abstract_Expressionism,mark-tobey_geography-of-phantasy-1948,something else,This is very confusing as to what is going on; are they stick people or random squiggles?,45,Mark Tobey,Geography Of Phantasy,1948.0,mark tobey,geography of phantasy,https://uploads7.wikiart.org/images/mark-tobey/geography-of-phantasy-1948.jpg
Cubism,olexandr-archipenko_head-of-a-woman-1921,something else,I feel bored because it is just a plain white statue.,50,Olexandr Archipenko,Head Of A Woman,1921.0,olexandr archipenko,head of a woman,https://uploads1.wikiart.org/images/olexandr-archipenko/head-of-a-woman-1921.jpg
Romanticism,francesco-hayez_thethys-immerses-achilles-in-the-waters-of-styx-1817,awe,this work is full of angelic creatures flying around,49,Francesco Hayez,Thethys Immerses Achilles In The Waters Of Styx,1817.0,francesco hayez,thethys immerses achilles in the waters of styx,https://uploads2.wikiart.org/images/francesco-hayez/thethys-immerses-achilles-in-the-waters-of-styx-1817.jpg
Cubism,pablo-picasso_cat-eating-a-bird-1939,excitement,The creature is straight out of a nightmare from hell,50,Pablo Picasso,Cat Eating A Bird,1939.0,pablo picasso,cat eating a bird,https://uploads6.wikiart.org/images/pablo-picasso/cat-eating-a-bird-1939.jpg
Cubism,pablo-picasso_cat-eating-a-bird-1939,fear,The eyes and teeth of the cat are scary.,50,Pablo Picasso,Cat Eating A Bird,1939.0,pablo picasso,cat eating a bird,https://uploads6.wikiart.org/images/pablo-picasso/cat-eating-a-bird-1939.jpg
Pop_Art,valerio-adami_hotel-chelsea-bathroom-1968,disgust,it looks like someone made this on paint like the computer software,47,Valerio Adami,Hotel Chelsea Bathroom,1968.0,valerio adami,hotel chelsea bathroom,https://uploads2.wikiart.org/images/valerio-adami/hotel-chelsea-bathroom-1968.jpg
Naive_Art_Primitivism,marc-chagall_nozdriov,amusement,"This reminds me of Charlie Chaplan, the whole scene is funny and feels very real.",44,Marc Chagall,Nozdriov,,marc chagall,nozdriov,https://uploads0.wikiart.org/images/marc-chagall/nozdriov.jpg
Romanticism,francesco-hayez_thethys-immerses-achilles-in-the-waters-of-styx-1817,awe,The bright colors contrasting with the cherubs make this feel heavenly and peaceful.,49,Francesco Hayez,Thethys Immerses Achilles In The Waters Of Styx,1817.0,francesco hayez,thethys immerses achilles in the waters of styx,https://uploads2.wikiart.org/images/francesco-hayez/thethys-immerses-achilles-in-the-waters-of-styx-1817.jpg
Abstract_Expressionism,mark-tobey_geography-of-phantasy-1948,excitement,The symbols scratched all over is really interesting to see and try to make out what they might mean,45,Mark Tobey,Geography Of Phantasy,1948.0,mark tobey,geography of phantasy,https://uploads7.wikiart.org/images/mark-tobey/geography-of-phantasy-1948.jpg
Realism,camille-corot_woman-with-mandolin-1828,sadness,The woman has a sad look on her face.,44,Camille Corot,Woman With Mandolin,1828.0,camille corot,woman with mandolin,https://uploads8.wikiart.org/images/camille-corot/woman-with-mandolin-1828.jpg
Impressionism,berthe-morisot_young-girl-with-a-parrot,contentment,The woman looks very relaxed while sitting on the chair.,49,Berthe Morisot,Young Girl With A Parrot,,berthe morisot,young girl with a parrot,https://uploads0.wikiart.org/images/berthe-morisot/young-girl-with-a-parrot.jpg
Naive_Art_Primitivism,marc-chagall_the-message-of-ulysse,awe,There is so much going on in this piece that I could look at it a bunch of times and still see something new.,45,Marc Chagall,The Message Of Ulysse,,marc chagall,the message of ulysse,https://uploads6.wikiart.org/images/marc-chagall/the-message-of-ulysse-1.jpg
Naive_Art_Primitivism,marc-chagall_nozdriov,excitement,he shows pure excitment into his face,44,Marc Chagall,Nozdriov,,marc chagall,nozdriov,https://uploads0.wikiart.org/images/marc-chagall/nozdriov.jpg
Naive_Art_Primitivism,marc-chagall_the-message-of-ulysse,contentment,"Although child-like, it looks like a tapestry of many stories, legends, fables. You could spend hours trying to decipher this painting.",45,Marc Chagall,The Message Of Ulysse,,marc chagall,the message of ulysse,https://uploads6.wikiart.org/images/marc-chagall/the-message-of-ulysse-1.jpg
Fauvism,louis-valtat_flowers-still-life,contentment,This image makes me feel content because the flowers remind me of an older relatives house. It is simple and yet unique. I feel very comfortable with it.,44,Louis Valtat,Flowers Still Life,,louis valtat,flowers still life,https://uploads1.wikiart.org/images/louis-valtat/flowers-still-life.jpg
Minimalism,imi-knoebel_venera-1996,amusement,"It reminds me of playing with blocks as a kid. The bright colors like the old wooden trains in the doctor's waiting room, it brings up goofy memories..",48,Imi Knoebel,Venera,1996.0,imi knoebel,venera,https://uploads2.wikiart.org/images/imi-knoebel/venera-1996.jpg
Minimalism,imi-knoebel_venera-1996,amusement,The primary colors in this painting make me happy and joyful.,48,Imi Knoebel,Venera,1996.0,imi knoebel,venera,https://uploads2.wikiart.org/images/imi-knoebel/venera-1996.jpg
Expressionism,georges-braque_bird-in-the-foliage-1961,amusement,I don't know why but to me it looks like it's half bird and half Richard Nixon,52,Georges Braque,Bird In The Foliage,1961.0,georges braque,bird in the foliage,https://uploads0.wikiart.org/images/georges-braque/bird-in-the-foliage-1961.jpg
Color_Field_Painting,gene-davis_night-rider-1983,anger,I feel anger because I cannot see anything redeeming in the image.,46,Gene Davis,Night Rider,1983.0,gene davis,night rider,https://uploads6.wikiart.org/images/gene-davis/night-rider-1983.jpg
Rococo,francisco-bayeu-y-subias_the-holy-family-1776,awe,"the pious, religious look of the figures",49,Francisco Bayeu Y Subias,The Holy Family,1776.0,francisco bayeu y subias,the holy family,https://uploads6.wikiart.org/images/francisco-bayeu-y-subias/the-holy-family-1776.jpg
Fauvism,mary-fedden_still-life-with-pears-and-onions-1992,contentment,i am ready to sit down to a delicious meal,46,Mary Fedden,Still Life With Pears And Onions,1992.0,mary fedden,still life with pears and onions,https://uploads1.wikiart.org/images/mary-fedden/still-life-with-pears-and-onions-1992.jpg
Fauvism,louis-valtat_flowers-still-life,contentment,The flowers and vase are soothing colors.,44,Louis Valtat,Flowers Still Life,,louis valtat,flowers still life,https://uploads1.wikiart.org/images/louis-valtat/flowers-still-life.jpg
Ukiyo_e,kitagawa-utamaro_the-drunken-courtesan,something else,"I feel detached. The simplicity of the lines and because the woman isn't doing anything, it doesn't give me much to look at or think about.",46,Kitagawa Utamaro,The Drunken Courtesan,,kitagawa utamaro,the drunken courtesan,https://uploads8.wikiart.org/images/kitagawa-utamaro/the-drunken-courtesan.jpg
Minimalism,jean-degottex_pli-x-pli-iii,something else,Boredom. This reminds me of a cream colored envelope. The type your mom makes you send thank you notes out in as a kid.,46,Jean Degottex,Pli X Pli Iii,,jean degottex,pli x pli iii,https://uploads6.wikiart.org/images/jean-degottex/pli-x-pli-iii.jpg
